Word,Count
دشمن,20
استکبار,15
مستکبر,12
غیرقابل اعتماد,12
تحمیل‌گر,11
دروغ‌گو,8
ظالم,8
زیاده‌طلب,7
شیطان,7
فریب‌کار,7
نقض‌عهد,7
استکباری,6
سلطه‌طلب,5
پررو,5
خدعه‌گر,5
متکبر,4
قلدر,4
متجاوز,4
گستاخ,4
خباثت‌آلود,4
خصمانه,4
جنایت‌کار,4
تهدیدکننده,3
بدعهد,3
بی‌صداقت,3
وقیح,3
منفور,3
مستبد,2
دیکتاتور,2
باج‌خواه,2
بداخلاق,2
نفوذگر,2
چدنی,2
حیله‌گر,2
متقلّب,2
دبّه‌کار,2
غیرمنطقی,2
طمع‌ورز,2
وحشی,2
فشارآور,2
ضد اسلام,2
سیطره‌طلب,1
ابرقدرت,1
دیکتاتورمآب,1
زورمند,1
سلطه‌گر,1
اتمّ مصادیق استکبار,1
غدّار,1
باج‌خواهی,1
هارت‌وهورت,1
نابکار,1
فسادبرانگیز,1
خبیث,1
فاسد,1
دزد,1
مفسد,1
بی‌انصاف,1
پلید,1
روانی,1
فرعونی,1
ضد بیداری,1
بددهن,1
بی‌ادب,1
مغرور,1
کم‌خرد,1
بی‌حکمت,1
تند,1
خشن,1
قیم‌مآب,1
غلط زیادی,1
خصومت‌ورز,1
عنادآمیز,1
تعرّض‌کننده,1
نابودگر,1
جنگ‌طلب,1
فضیلت‌ستیز,1
بشریت‌ستیز,1
جاسوس,1
شرور,1
بی‌حسن‌نیت,1
دغل‌کار,1
صهیونیستی,1
سلطه‌پذیر,1
غیرشریف,1
نقض‌کننده,1
موذی,1
بدمعامله,1
مفتضح,1
تحقیرآمیز,1
بدحساب,1
فاقد صداقت,1
پوسیده,1
متوحش,1
بت,1
ناامن‌کننده,1
غارتگر,1
سودجو,1
تروریست,1
خونین,1
ناجوانمرد,1
متهتک,1
ناقض حقوق بشر,1
مظهر ظلم,1
عقب‌مانده‌ساز,1
خون‌ریز,1
ویرانگر,1
بی‌اعتقاد,1
خائن,1
بی‌شرافت,1
